Instruction,Input,Output,materi,question_id,Full Code,Template
Write a Python code to determine if the user has enough money in the account for a given transaction.,"balance = 200
amount = 50","def enough_balance(balance, amount):
    if amount > balance:
        return False
    return True

if __name__ == '__main__':
    print(enough_balance(balance, amount))",Control Structure,5070,"def enough_balance(balance, amount):
    if amount > balance:
        return False
    return True

if __name__ == '__main__':
    print(enough_balance(balance, amount))","def enough_balance(balance, amount):
    if amount > balance:
    ___
    ___

if __name__ == '__main__':
    print(enough_balance(balance, amount))"
"Use the inputs provided, write Python code to check if two integers are equal.","First Integer: 10
Second Integer: 10","if int(10) == int(10):
    print(""The two integers are equal"")
else:
    print(""The two integers are not equal"")",Control Structure,5097,"if int(10) == int(10):
    print(""The two integers are equal"")
else:
    print(""The two integers are not equal"")","if int(10) == int(10):
    print(""The two integers are equal"")
    ___
    print(""The two integers are not equal"")"
Generate a Python program that can verify if a given sentence is correct or misspelled.,"The sentence: ""This is my new computer""","import re

def spell_check(sentence):
  words = re.findall(r'\w+', sentence)
  for word in words:
    if not word.lower() in dict:
        return False
  return True

sentence = ""This is my new computer""
result = spell_check(sentence)
if result:
    print('Correct spelling')
else:
    print('Incorrect spelling')",Control Structure,5106,"import re

def spell_check(sentence):
  words = re.findall(r'\w+', sentence)
  for word in words:
    if not word.lower() in dict:
        return False
  return True

sentence = ""This is my new computer""
result = spell_check(sentence)
if result:
    print('Correct spelling')
else:
    print('Incorrect spelling')","import re

def spell_check(sentence):
  words = re.findall(r'\w+', sentence)
  for word in words:
    if not word.lower() in dict:
    ___
    ___

sentence = ""This is my new computer""
result = spell_check(sentence)
if result:
    print('Correct spelling')
    ___
    print('Incorrect spelling')"
Generate a Python program which takes two strings as input and returns true if they are anagrams of each other.,"""listen"", ""silent""","def is_anagram(a, b):
  return sorted(a) == sorted(b)

result = is_anagram(""listen"", ""silent"")
print(result)",Control Structure,5201,"def is_anagram(a, b):
  return sorted(a) == sorted(b)

result = is_anagram(""listen"", ""silent"")
print(result)","def is_anagram(a, b):
    ___

result = is_anagram(""listen"", ""silent"")
print(result)"
Write a Python code snippet for comparing two strings regardless of their case. You should use regular expressions.,"String 1: ""Hello""
String 2: ""heLLo""","import re

string1 = ""Hello""
string2 = ""heLLo""

if re.search(string1.lower(), string2.lower()):
 print(""Strings are equal regardless of case."")",Control Structure,5222,"import re

string1 = ""Hello""
string2 = ""heLLo""

if re.search(string1.lower(), string2.lower()):
 print(""Strings are equal regardless of case."")","import re

string1 = ""Hello""
string2 = ""heLLo""

if re.search(string1.lower(), string2.lower()):
    ___"
Code an algorithm in Python to check if two given sets are equal.,"A = {1, 2, 3, 4, 5}
B = {4, 1, 2, 3, 5}","def is_equal(A, B):
    if len(A) != len(B):
        return False
    for el in A:
        if el not in B:
            return False
    return True",Control Structure,5229,"def is_equal(A, B):
    if len(A) != len(B):
        return False
    for el in A:
        if el not in B:
            return False
    return True","def is_equal(A, B):
    if len(A) != len(B):
    ___
    for el in A:
        if el not in B:
    ___
    ___"
"Given two strings s and t, create a new Python function to check if s is an anagram of t.","s = ""anagram""
t = ""nagaram""","def is_anagram(s, t):
 s_list = list(s)
 t_list = list(t)
 s_list.sort()
 t_list.sort()
 if s_list == t_list:
 return True
 else:
 return False",Control Structure,5231,"def is_anagram(s, t):
 s_list = list(s)
 t_list = list(t)
 s_list.sort()
 t_list.sort()
 if s_list == t_list:
 return True
 else:
 return False","def is_anagram(s, t):
 s_list = list(s)
 t_list = list(t)
 s_list.sort()
 t_list.sort()
 if s_list == t_list:
    ___
    ___
    ___"
Write a Python program to check if a number is prime by eliminating the multiples of all numbers from 2 to the square root of the number.,n = 99,"import math

def is_prime(n):
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0:
            return False
    return True

print(is_prime(n))",Control Structure,5384,"import math

def is_prime(n):
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0:
            return False
    return True

print(is_prime(n))","import math

def is_prime(n):
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0:
    ___
    ___

print(is_prime(n))"
Modify the following code in Python to check if a number is prime or not.,"def checkPrime(n):
    for i in range(2,n):
        if n%i==0:
            return False
    return True","def checkPrime(n):
    if n <= 1:
        return False

    for i in range(2,n):
        if n % i == 0:
            return False
    
    return True",Control Structure,5403,"def checkPrime(n):
    if n <= 1:
        return False

    for i in range(2,n):
        if n % i == 0:
            return False
    
    return True","def checkPrime(n):
    if n <= 1:
    ___

    for i in range(2,n):
        if n % i == 0:
    ___
    
    ___"
Program a Python class for handling employee data.,class Employee:,"class Employee:
    def __init__(self, name, age, salary, company):
        self.name = name
        self.age = age
        self.salary = salary
        self.company = company
    def get_details(self):
        return ""{}, {}, {}, {}"".format(self.name, self.age, self.salary, self.company)",Control Structure,5404,"class Employee:
    def __init__(self, name, age, salary, company):
        self.name = name
        self.age = age
        self.salary = salary
        self.company = company
    def get_details(self):
        return ""{}, {}, {}, {}"".format(self.name, self.age, self.salary, self.company)","class Employee:
    def __init__(self, name, age, salary, company):
        self.name = name
        self.age = age
        self.salary = salary
        self.company = company
    def get_details(self):
    ___"
Suggest a completion for the following python code to merge two given dictionaries into one.,"def merge_dict(dict1, dict2):","def merge_dict(dict1, dict2):
 result = dict1.copy()
 result.update(dict2)
 return result",Control Structure,5480,"def merge_dict(dict1, dict2):
 result = dict1.copy()
 result.update(dict2)
 return result","def merge_dict(dict1, dict2):
 result = dict1.copy()
 result.update(dict2)
    ___"
Write a function in Python that takes two strings as input and return true if one is a rotation of the other.,"""listen"",""enlist""","def is_rotation(s1, s2):
  # edge case check
  if len(s1) != len(s2):
    return False

  # concatenate s2 to itself
  concat_s2 = s2 + s2

  #search s1 in concat_s2
  return s1 in concat_s2",Control Structure,5512,"def is_rotation(s1, s2):
  # edge case check
  if len(s1) != len(s2):
    return False

  # concatenate s2 to itself
  concat_s2 = s2 + s2

  #search s1 in concat_s2
  return s1 in concat_s2","def is_rotation(s1, s2):
    ___
  if len(s1) != len(s2):
    ___

  # concatenate s2 to itself
  concat_s2 = s2 + s2

  #search s1 in concat_s2
    ___"
Create a Python function for computing the Factorial of a number.,6,"def factorial(n):
   if n == 0:
      return 1
   else:
      return n * factorial(n-1)

print(factorial(6))",Control Structure,5520,"def factorial(n):
   if n == 0:
      return 1
   else:
      return n * factorial(n-1)

print(factorial(6))","def factorial(n):
   if n == 0:
    ___
    ___
    ___

print(factorial(6))"
Create a Python function that uses a given dictionary to calculate the sum of all the values for each key.,"{'a': 4, 'b': 2, 'c': 1}","def sum_dict_values(dict):
  result = 0
  for key in dict:
    result += dict[key]

  return result

dict = {'a': 4, 'b': 2, 'c': 1}
sum = sum_dict_values(dict)
print(sum) # 7",Control Structure,5551,"def sum_dict_values(dict):
  result = 0
  for key in dict:
    result += dict[key]

  return result

dict = {'a': 4, 'b': 2, 'c': 1}
sum = sum_dict_values(dict)
print(sum) # 7","def sum_dict_values(dict):
  result = 0
  for key in dict:
    result += dict[key]

    ___

dict = {'a': 4, 'b': 2, 'c': 1}
sum = sum_dict_values(dict)
print(sum) # 7"
Design an algorithm to check if a number is a perfect square in Python.,25,"import math 
  
def isPerfectSquare(n): 
    # Find floating point value of 
    # square root of x. 
    sqr = math.sqrt(n) 
   
    # If square root is an integer 
    return (sqr - math.floor(sqr) == 0) 
  
# Driver program 
x = 25
if(isPerfectSquare(x)): 
    print(x, ""is a perfect square"") 
else: 
    print(x, ""is not a perfect square"")",Control Structure,5553,"import math 
  
def isPerfectSquare(n): 
    # Find floating point value of 
    # square root of x. 
    sqr = math.sqrt(n) 
   
    # If square root is an integer 
    return (sqr - math.floor(sqr) == 0) 
  
# Driver program 
x = 25
if(isPerfectSquare(x)): 
    print(x, ""is a perfect square"") 
else: 
    print(x, ""is not a perfect square"")","import math 
  
def isPerfectSquare(n): 
    # Find floating point value of 
    # square root of x. 
    sqr = math.sqrt(n) 
   
    # If square root is an integer 
    ___
  
# Driver program 
x = 25
if(isPerfectSquare(x)): 
    print(x, ""is a perfect square"") 
    ___
    print(x, ""is not a perfect square"")"
You need to write a program in Python that checks if a given number is a perfect square or not.,36,"def isPerfectSquare(n):
    root =  n ** 0.5
    return root == int(root)

result = isPerfectSquare(36)
print(result)",Control Structure,5565,"def isPerfectSquare(n):
    root =  n ** 0.5
    return root == int(root)

result = isPerfectSquare(36)
print(result)","def isPerfectSquare(n):
    root =  n ** 0.5
    ___

result = isPerfectSquare(36)
print(result)"
Develop an algorithm in Python for parsing a given text and counting the number of occurrences of a given word.,This is an example text.,"def parse_text(text, word):
  word_count = 0
  words = text.split()
  for w in words:
    if w == word:
      word_count += 1
  return word_count
  
text = 'This is an example text.'
word = 'example'
word_count = parse_text(text, word)
print('The word ""{}"" appears {} times in the text.'.format(word, word_count))",Control Structure,5620,"def parse_text(text, word):
  word_count = 0
  words = text.split()
  for w in words:
    if w == word:
      word_count += 1
  return word_count
  
text = 'This is an example text.'
word = 'example'
word_count = parse_text(text, word)
print('The word ""{}"" appears {} times in the text.'.format(word, word_count))","def parse_text(text, word):
  word_count = 0
  words = text.split()
  for w in words:
    if w == word:
      word_count += 1
    ___
  
text = 'This is an example text.'
word = 'example'
word_count = parse_text(text, word)
print('The word ""{}"" appears {} times in the text.'.format(word, word_count))"
Generate a linear regression program for Python,This program should return the coefficient of determination (R2) of a linear regression model.,"import numpy as np

def calculateR2(x, y):
    # Calculate the mean of x and y vectors
    x_mean = np.mean(x)
    y_mean = np.mean(y)
    
    # Calculate the sums
    SS_tot = np.sum((y - y_mean)**2)
    SS_res = np.sum((y - x)**2)
    
    # Calculate R2
    r2 = 1 - (SS_res / SS_tot)
    
    return r2",Control Structure,5629,"import numpy as np

def calculateR2(x, y):
    # Calculate the mean of x and y vectors
    x_mean = np.mean(x)
    y_mean = np.mean(y)
    
    # Calculate the sums
    SS_tot = np.sum((y - y_mean)**2)
    SS_res = np.sum((y - x)**2)
    
    # Calculate R2
    r2 = 1 - (SS_res / SS_tot)
    
    return r2","import numpy as np

def calculateR2(x, y):
    # Calculate the mean of x and y vectors
    x_mean = np.mean(x)
    y_mean = np.mean(y)
    
    # Calculate the sums
    SS_tot = np.sum((y - y_mean)**2)
    SS_res = np.sum((y - x)**2)
    
    # Calculate R2
    r2 = 1 - (SS_res / SS_tot)
    
    ___"
